Name,Race
A.J. Pierzynski,W
A.J. Pierzynski,W
A.J. Pierzynski,W
A.J. Pierzynski,W
Adam LaRoche,W
Adam Rosales,W
Alberto Callaspo,H
Alejandro De Aza,H
Alex Avila,H
Alex Gordon,W
Alex Rios,H
Alexei Ramirez,H
Angel Pagan,H
Asdrubal Cabrera,H
Asdrubal Cabrera,H
Austin Jackson,B
Ben Zobrist,W
Billy Butler,W
Brayan Pena,H
Brayan Pena,H
Brendan Ryan,W
Brian McCann,W
Brian Roberts,W
Carlos Beltran,H
Carlos Pena,H
Carlos Ruiz,H
Chase Headley,W
Chase Utley,W
Chris Davis,W
Chris Denorfia,W
Chris Iannetta,W
Chris Young,B
Cliff Pennington,W
Clint Barmes,W
Cody Ross,W
Colby Rasmus,W
Colby Rasmus,W
Corey Hart,W
Curtis Granderson,B
Daniel Descalso,W
Daniel Murphy,W
Darwin Barney,W
David Freese,W
David Murphy,W
David Ross,W
Delmon Young,B
Delmon Young,B
Denard Span,B
Dewayne Wise,B
Dexter Fowler,B
Dioner Navarro,H
Dioner Navarro,H
Dioner Navarro,H
Emilio Bonifacio,H
Eric Chavez,H
Eric Chavez,H
Eric Hinske,W
Franklin Gutierrez,H
Garrett Jones,W
Geovany Soto,H
Geovany Soto,H
Geovany Soto,H
Gerardo Parra,H
Gordon Beckham,W
Hanley Ramirez,H
Howie Kendrick,B
Ian Desmond,B
Ian Stewart,W
Ichiro Suzuki,A
Ichiro Suzuki,A
J.P. Arencibia,H
Jack Hannahan,W
Jacoby Ellsbury,W
James Loney,B
James Loney,B
Jarrod Saltalamacchia,W
Jason Heyward,B
Jed Lowrie,W
Jeff Keppinger,W
Jeff Mathis,W
Jhonny Peralta,H
John Buck,W
John Jaso,W
Jonny Gomes,W
Jonny Gomes,W
Josh Hamilton,W
Juan Pierre,H
Juan Uribe,H
Juan Uribe,H
Justin Morneau,W
Justin Smoak,W
Justin Upton,B
Kelly Johnson,W
Kelly Johnson,W
Kelly Shoppach,W
Kendrys Morales,H
Kevin Frandsen,W
Kevin Youkilis,W
Kevin Youkilis,W
Kurt Suzuki,A
Lance Berkman,W
Maicer Izturis,H
Marco Scutaro,H
Mark Ellis,W
Mark Reynolds,W
Mark Reynolds,W
Mark Reynolds,W
Marlon Byrd,B
Matt Wieters,W
Melky Cabrera,H
Melky Cabrera,H
Michael Bourn,B
Michael Cuddyer,W
Mike Aviles,H
Mike Napoli,W
Mike Napoli,W
Nate McLouth,W
Nate Schierholtz,W
Nelson Cruz,H
Nick Hundley,W
Nick Markakis,W
Nick Punto,W
Nick Swisher,W
Nyjer Morgan,B
Omar Infante,H
Pablo Sandoval,H
Paul Konerko,W
Pedro Alvarez,H
Placido Polanco,H
Rajai Davis,B
Rajai Davis,B
Raul Ibanez,H
Raul Ibanez,H
Reed Johnson,W
Rickie Weeks,B
Robinson Cano,H
Russell Martin,W
Russell Martin,W
Sean Rodriguez,H
Shane Victorino,H
Shin-Soo Choo,A
Skip Schumaker,W
Stephen Drew,W
Stephen Drew,W
Steve Pearce,W
Torii Hunter,B
Torii Hunter,B
Ty Wigginton,W
Victor Martinez,H
Wil Nieves,H
Willie Bloomquist,W
Yoenis Cespedes,H
